CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
HISTÓRIA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"PROFESSOR, HISTORIADOR, MUSEUS, ARQUIVOS","3.500,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Investiga ações humanas ao longo do tempo analisando registros.",Licenciatura em História: Graduação EAD | UNIASSELVI,Humanas & Educação
SEGUNDA LICENCIATURA EM MATEMÁTICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE MATEMÁTICA EM REDES DE ENSINO,"3.800,00-5.800,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Destinado a licenciados que buscam habilitar-se em matemática.",Segunda Licenciatura em Matemática EAD | UNIASSELVI,Humanas & Educação
GERONTOLOGIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ATENÇÃO AO ENVELHECIMENTO, BEM-ESTAR DE IDOSOS","3.200,00-4.800,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda o envelhecimento sob aspectos biológicos e sociais.",Tecnólogo em Gerontologia: saiba tudo sobre a formação,Saúde
SEGUNDA LICENCIATURA EM SOCIOLOGIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE SOCIOLOGIA NO ENSINO MÉDIO,"3.500,00-5.200,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Formação compacta nas principais correntes sociológicas.",Segunda Licenciatura em Sociologia Semipresencial | UNIASSELVI,Humanas & Educação
EDUCAÇÃO ESPECIAL,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,INCLUSÃO ESCOLAR E ATENDIMENTO ESPECIALIZADO,"3.500,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Metodologias de ensino adaptadas para pessoas com deficiências.",Licenciatura em Educação Especial conheça essa formação,Humanas & Educação
LETRAS LIBRAS LICENCIATURA,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,ENSINO DE LIBRAS NA EDUCAÇÃO BÁSICA,"3.000,00-5.000,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Formação profunda na Língua Brasileira de Sinais e cultura.",Letras Libras Licenciatura - Graduação,Humanas & Educação
SEGUNDA LICENCIATURA EM LETRAS ESPANHOL,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE LÍNGUA ESPANHOLA NAS ESCOLAS,"3.200,00-4.800,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilitação focada no ensino e gramática do idioma espanhol.",Segunda Licenciatura em Letras Espanhol,Humanas & Educação
EDUCAÇÃO FÍSICA (BACH-FLEX),8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"PERSONAL TRAINER, PREPARADOR FÍSICO, ACADEMIAS","3.000,00-5.500,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda o movimento focado na saúde e performance esportiva.",Educação Física Bacharelado,Saúde
FORMAÇÃO PEDAGÓGICA EM HISTÓRIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE HISTÓRIA NA EDUCAÇÃO BÁSICA,"3.500,00-5.500,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Formação didática obrigatória para bacharéis de humanas.",Formação Pedagógica em História,Humanas & Educação
TECNOLOGIA EM ENERGIAS RENOVÁVEIS,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"SISTEMAS DE ENERGIA SOLAR, EÓLICA E BIOMASSA","4.500,00-7.500,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Planejamento, viabilidade e projetos de fontes de energia limpa.",Tecnólogo em Energias Renováveis | UNIASSELVI,Exatas & Engenharias
FILOSOFIA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"DOCÊNCIA, PESQUISA, CRÍTICA CULTURAL, ÉTICA","3.500,00-5.500,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda grandes correntes de pensamento, lógica e valores.",Filosofia,Humanas & Educação
ARQUITETURA E URBANISMO (FLEX),10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"PROJETOS ARQUITETÔNICOS E PLANEJAMENTO URBANO","5.500,00-8.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Une arte, técnica e sensibilidade para projetar espaços humanos.",Arquitetura e Urbanismo,Humanas & Educação
CONSTRUÇÃO DE EDIFÍCIOS (FLEX),6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"GESTÃO PRÁTICA DE CANTEIROS, EQUIPES, CUSTOS","4.200,00-6.500,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Aborda leitura de projetos, técnicas e segurança do trabalho.",Tecnólogo em Construção de Edifícios | UNIASSELVI,Exatas & Engenharias
FORMAÇÃO PEDAGÓGICA EM QUÍMICA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE QUÍMICA NAS ESCOLAS,"3.800,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Prepara químicos, engenheiros ou tecnólogos para docência.",Formação Pedagógica em Química: prepare-se para ensinar,Humanas & Educação
DANÇA,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"BAILARINO, COREÓGRAFO, ARTE-EDUCAÇÃO","2.500,00-4.500,00",5-12,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Desenvolve potencialidades técnicas e expressivas do corpo.",Licenciatura Semipresencial em Dança| UNIASSELVI,Humanas & Educação
SANEAMENTO AMBIENTAL,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"USINAS DE TRATAMENTO, REDES DE ÁGUA, ESGOTO","4.000,00-6.500,00",10-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Técnicas de intervenção no meio ambiente para saúde pública.",Tecnólogo em Saneamento Ambiental tudo sobre a carreira,Exatas & Engenharias
FORMAÇÃO PEDAGÓGICA EM CIÊNCIAS BIOLÓGICAS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE CIÊNCIAS E BIOLOGIA NAS ESCOLAS,"3.500,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilitação pedagógica para biólogos ou profissionais de saúde.",Formação Pedagógica em Ciências Biológicas,Humanas & Educação
CIÊNCIAS BIOLÓGICAS (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"PESQUISA DA FAUNA, FLORA, CONSERVAÇÃO, DOCÊNCIA","3.800,00-5.800,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a vida em todas as escalas, genética e ecossistemas.",Licenciatura em Ciências Biológicas | UNIASSELVI,Saúde
SEGUNDA LICENCIATURA EM LETRAS PORTUGUÊS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE LÍNGUA PORTUGUESA NAS REDES,"3.500,00-5.500,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilitação ágil em linguística para quem já é professor.",Segunda Licenciatura em Letras Português,Humanas & Educação
QUÍMICA (LIC),8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"LABORATÓRIOS INDÚSTRIAIS, TRATAMENTO, DOCÊNCIA","4.500,00-7.000,00",8-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Investiga a matéria, propriedades, reações e processos.",Química,Exatas & Engenharias
ENGENHARIA ELÉTRICA (FLEX),10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"SISTEMAS ELÉTRICOS DE POTÊNCIA E AUTOMAÇÃO","7.500,00-11.500,00",5-12,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Circuitos elétricos, sistemas de potência, eletromagnetismo.",Graduação Engenharia Elétrica Semipresencial UNIASSELVI,Exatas & Engenharias
EDUCAÇÃO FÍSICA LICENCIATURA,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,VAGAS POR TURMA,"DOCÊNCIA ESCOLAR INFANTIL, FUNDAMENTAL E MÉDIO","3.500,00-5.000,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Forma professores com ênfase no desenvolvimento motor.",Educação Fisica Licenciatura,Humanas & Educação
FORMAÇÃO PEDAGÓGICA EM LETRAS ESPANHOL,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE ESPANHOL NO ENSINO BÁSICO,"3.200,00-4.800,00",12-20,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita bacharéis focando em metodologias de segunda língua.",Formação Pedagógica em Letras Espanhol,Humanas & Educação
LETRAS INGLÊS,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"PROFESSOR DE INGLÊS, TRADUTOR, REVISOR","3.500,00-5.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a fundo a Língua Inglesa, gramática e fonética.",Letras Inglês,Humanas & Educação
RADIOLOGIA (FLEX),6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,VAGAS POR TURMA,"EQUIPAMENTOS DE DIAGNÓSTICO POR IMAGEM, HOSPITAIS","3.200,00-4.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Capacita para aplicação técnica de radiações ionizantes.",Tecnólogo em Radiologia: formação, mercado e atuação,Saúde
LETRAS ESPANHOL,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"ENSINO DE LÍNGUA ESPANHOLA, TRADUÇÃO, REVISÃO","3.200,00-4.800,00",8-15,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda a estrutura da língua espanhola e suas literaturas.",Letras Espanhol,Humanas & Educação
PODOLOGIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,VAGAS POR TURMA,"CLÍNICAS, HOSPITAIS, AFECÇÕES DOS PÉS, AUTÔNOMO","2.500,00-4.500,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estudo anatômico, fisiológico e patológico dos pés.",Curso de Podologia: formação para atuar na saúde dos pé,Saúde
SEGUNDA LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE CIÊNCIAS E BIOLOGIA NAS ESCOLAS,"3.500,00-5.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Curso para professores obterem nova habilitação em biologia.",Segunda Licenciatura em Ciências Biologicas,Humanas & Educação
SEGUNDA LICENCIATURA EM FILOSOFIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE FILOSOFIA NO ENSINO BÁSICO,"3.500,00-5.200,00",10-18,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Programa focado na história da filosofia e reflexão lógica.",https://portal.uniasselvi.com.br/graduacao/licenciatura/segunda-licenciatura-em-filosofia/semipresencia,Humanas & Educação
SEGUNDA LICENCIATURA EM HISTÓRIA,2,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,DOCÊNCIA DE HISTÓRIA NO ENSINO BÁSICO,"3.500,00-5.500,00",12-22,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Habilita licenciados no campo da pesquisa histórica.",Segunda Licenciatura em Historia,Humanas & Educação
TERAPIAS INTEGRATIVAS E COMPLEMENTAR,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ACUPUNTURA, AROMATERAPIA, FITOTERAPIA, REIKI","2.500,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Estuda práticas não invasivas baseadas em visões holísticas.",Graduação em Terapias Integrativas e Complementares,Saúde
TECNOLOGIA EM ESTÉTICA E COSMÉTICA,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,VAGAS POR TURMA,"PROCEDIMENTOS ESTÉTICOS, SALÕES, CLÍNICAS, SPAS","2.800,00-5.000,00",18-30,JUAZEIRO DO NORTE - CE,SEMIPRESENCIAL,NOTURNO,"Capacita para procedimentos faciais, corporais e capilares.",Tecnólogo em Estética e Cosmética: transforme sua carre,Saúde
ADMINISTRAÇÃO (EAD),8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GESTÃO EMPRESARIAL, FINANCEIRA, RECURSOS HUMANOS","4.500,00-7.000,00",40-55,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na gestão organizacional, estratégia e pessoas.",Administração: conquiste seu diploma na UNIASSELVI,Negócios & Gestão
CIÊNCIAS CONTÁBEIS (EAD),8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"AUDITORIA, ESCRITURAÇÃO, CONTABILIDADE CORPORATIVA","4.200,00-6.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Capacita a registrar, analisar e interpretar eventos financeiros.",Ciências Contábeis EAD | UNIASSELVI,Negócios & Gestão
GESTÃO DE RECURSOS HUMANOS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"RECRUTAMENTO, SELEÇÃO, TREINAMENTO, CARREIRAS","4.000,00-6.500,00",45-65,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na gestão do capital humano nas organizações.",Tecnólogo EAD em Gestão de Recursos Humanos | UNIASSELV,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS (EAD),5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"PROGRAMAÇÃO, ENGENHARIA DE REQUISITOS DE SOFTWARE","5.500,00-9.000,00",50-70,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Curso tecnológico voltado para o ciclo de vida dos softwares.",Tecnólogo em Análise e Desenvolvimento de Sistemas,Tecnologia & TI
LOGÍSTICA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ARMAZENAMENTO, TRANSPORTE, DISTRIBUIÇÃO, SUPRIMENTOS","3.800,00-5.800,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estuda o fluxo de materiais, informações e recursos.",Curso Tecnólogo em Logística | Acesse na UNIASSELVI,Negócios & Gestão
INVESTIGAÇÃO FORENSE E PERÍCIA CRIMINAL,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"COLETA DE EVIDÊNCIAS, CENAS DE CRIMES, LAUDOS","4.000,00-7.000,00",35-55,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Aborda aspectos técnicos e científicos para esclarecer crimes.",Graduação Investigação Forense e Perícia UNIASSELVI,Humanas & Educação
PROCESSOS GERENCIAIS (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,ADMINISTRAÇÃO GERAL COM FOCO OPERACIONAL,"3.800,00-5.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Curso focado na administração de pequenas e médias empresas.",Curso Tecnólogo em Processos Gerenciais | UNIASSELVI,Negócios & Gestão
GESTÃO COMERCIAL,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"VENDAS, GERENCIAMENTO DE EQUIPES, VAREJO","4.500,00-8.000,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na administração das atividades de representação.",Gestão Comercial: curso tecnólogo para atuar no setor c,Negócios & Gestão
ESCRITA CRIATIVA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"AUTOR DE FICÇÃO, ROTEIRISTA, COPYWRITER, EDITOR","3.200,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Desenvolve técnicas narrativas e estruturais de texto.",Escrita Criativa: Curso Tecnólogo | UNIASSELVI,Humanas & Educação
TECNOLOGIA EM GESTÃO DE EVENTOS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"FEIRAS, CONGRESSOS, SHOWS, LOGÍSTICA, FORNECEDORES","3.000,00-5.200,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Ensina o planejamento e operacionalização de eventos.",Tecnologia em Gestão de Eventos,Negócios & Gestão
CIÊNCIA DA CRIATIVIDADE,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"INOVAÇÃO CORPORATIVA, SOLUÇÃO DE PROBLEMAS","3.500,00-6.000,00",10-18,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado em processos de inovação aberta e Design Thinking.",curso em Ciência da Criatividade,Negócios & Gestão
COMUNICAÇÃO INSTITUCIONAL,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"IMAGEM PÚBLICA, COMUNICAÇÃO INTERNA E EXTERNA","3.800,00-5.800,00",18-28,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Prepara para gerenciar imagem de corporações e governos.",Tecnólogo em Comunicação Institucional | UNIASSELVI,Negócios & Gestão
CIÊNCIAS ECONÔMICAS,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"MERCADOS ECONÔMICOS, FLUTUAÇÕES, INVESTIMENTOS","5.500,00-9.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estuda o uso de recursos escassos e análise de mercados.",Bacharelado em Ciências Econômicas no EAD | UNIASSELVI,Negócios & Gestão
CRIMINOLOGIA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"COMPORTAMENTO CRIMINOSO, SEGURANÇA PÚBLICA","3.800,00-6.000,00",35-55,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estuda o crime, a vítima e controle social de forma crítica.",Tecnólogo em Criminologia EAD | UNIASSELVI,Humanas & Educação
GESTÃO DE SEGURANÇA PRIVADA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"SEGURANÇA PATRIMONIAL, TRANSPORTE DE VALORES","4.500,00-7.000,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Capacita para planejar proteção de bens e pessoas.",Curso Tecnólogo em Gestão de Segurança Privada | UNIASSELVI,Negócios & Gestão
SEGURANÇA DA INFORMAÇÃO,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"PROTEÇÃO DE REDES, CRIPTOGRAFIA, LGPD","6.000,00-11.000,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na proteção de infraestruturas digitais e dados.",Curso Tecnólogo em Segurança da Informação | UNIASSELVI,Tecnologia & TI
ENFERMAGEM (EAD),10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"ASSISTÊNCIA, GESTÃO DE EQUIPES EM HOSPITAIS","4.750,00-6.500,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Forma profissionais para a assistência integral à saúde.",Bacharelado em Enfermagem no EAD é na UNIASSELVI,Saúde
TEOLOGIA,6,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"PASTORADO, CAPELANIA, ONGS, CONSULTORIA ÉTICA","2.800,00-4.500,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estuda manifestações religiosas, textos e história.",Graduação em Teologia EAD: Formação completa |UNIASSELV,Humanas & Educação
DESIGN GRÁFICO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"IDENTIDADES VISUAIS, LAYOUTS, INTERFACES","3.200,00-5.000,00",25-40,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Prepara para criar soluções visuais estruturadas de mídia.",Curso de Design Gráfico: formação para actar como desig,Humanas & Educação
JOGOS DIGITAIS,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DEVELOPMENT DE GAMES, MODELAGEM 3D, LEVEL DESIGN","4.500,00-8.500,00",18-30,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Curso focado na criação de jogos para consoles e mobile.",Curso Tecnólogo em Jogos Digitais | Acesse na UNIASSELVI,Tecnologia & TI
GESTÃO DE INVESTIMENTOS E MERCADO FINANCEIRO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"BOLSA DE VALORES, ANÁLISE DE RISCOS, CORRETORAS","5.500,00-10.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado nos mecanismos de captação e alocação de recursos.",Curso Tecnólogo: Gestão de Investimento e Mercado Financeiro,Negócios & Gestão
TECNOLOGIA EM GESTÃO DE SERVIÇOS JUDICIAIS E NOTARIAIS,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CARTÓRIOS, TRIBUNAIS, ESCRITÓRIOS DE ADVOCACIA","3.200,00-5.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Capacita para rotina administrativa e direito notarial.",Tecnologia em Gestão de Serviços Judiciais e Notariais,Negócios & Gestão
BIBLIOTECNOMIA,6,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"ORGANIZAÇÃO, CLASSIFICAÇÃO, ACERVOS DIGITAIS","3.500,00-5.000,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Trabalha com a organização e disseminação da informação.",Graduação em Biblioteconomia: Bacharelado | UNIASSELVI,Humanas & Educação
TECNOLOGIA EM SEGURANÇA DO TRABALHO,6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"RISCOS DE ACIDENTES, FISCALIZAÇÃO, NRS","4.000,00-6.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na preservação da integridade física do trabalhador.",Graduação em Segurança do Trabalho EAD | UNIASSELVI,Negócios & Gestão
MUSEOLOGIA,6,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"CATALOGAÇÃO, CONSERVAÇÃO, RESTAURO, EXPOSIÇÕES","3.500,00-5.200,00",5-12,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Estuda a preservação e exposição de acervos históricos.",Graduação em Museologia EAD | UNIASSELVI,Humanas & Educação
MARKETING (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ESTRATÉGIAS DE MERCADO, BRANDING, CONSUMIDOR","3.800,00-6.000,00",35-55,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado na criação de valor e relacionamento mercadológico.",Curso Tecnólogo em Marketing | UNIASSELVI,Negócios & Gestão
GESTÃO DE SAÚDE PÚBLICA,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ADMINISTRAÇÃO DE UBS, HOSPITAIS PÚBLICOS, SUS","4.500,00-7.500,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Prepara para administrar políticas e instituições do SUS.",Tecnólogo em Gestão de Saúde Pública | UNIASSELVI,Negócios & Gestão
GESTÃO FINANCEIRA (EAD),4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"TESOURARIA, CRÉDITO, FLUXO DE CAIXA, RISCOS","4.500,00-7.500,00",30-45,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Ensina a administrar recursos financeiros empresariais.",Gestão Financeira: tudo sobre esse curso tecnólogo,Negócios & Gestão
CIÊNCIA POLÍTICA,6,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"CONSULTORIA POLÍTICA, ANÁLISE, ASSESSORIA","4.500,00-8.000,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Analisa as estruturas de governo e os sistemas políticos.",Ciência Política,Humanas & Educação
DESIGN DE INTERIORES,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"AMBIENTES RESIDENCIAIS, ILUMINAÇÃO, MOBILIÁRIO","3.500,00-6.000,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Projeta ambientes buscando funcionalidade, ergonomia e conforto.",Design de Interiores: transforme ambientes com criativi,Humanas & Educação
DESIGN DE PRODUTO,4,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DESENHO DE OBJETOS, EMBALAGENS, MODELAGEM 3D","4.000,00-6.500,00",15-25,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Focado no desenvolvimento de objetos utilitários de fábrica.",Graduação em Design de Produto EAD | UNIASSELVI,Humanas & Educação
JORNALISMO DIGITAL,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"NOTÍCIAS, REPORTAGENS, PODCASTS, PORTAIS","3.000,00-5.000,00",18-28,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Ensina a apuração, redação e edição para meios conectados.",Graduação em Jornalismo Digital EAD | UNIASSELVI,Humanas & Educação
GESTÃO DE PRODUÇÃO INDUSTRIAL,6,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CHÃO DE FÁBRICA, PCP, ESTOQUES, MANUTENÇÃO","5.000,00-8.500,00",20-35,JUAZEIRO DO NORTE - CE,EAD,HORÁRIO LIVRE,"Curso focado na operação integrada de parques fabris.",Curso Tecnólogo: Gestão de Produção Industrial | UNIASSELVI,Negócios & Gestão
